"EntityNumber","Language","TypeOfDenomination","Denomination"
"2.153.245.689","1","003","Belgacom"
"2.153.245.986","1","003","Belgacom"
"2.153.246.085","1","003","Belgacom"
"2.153.246.283","2","003","Belgacom"
"2.153.246.580","3","003","Belgacom"
"2.153.246.778","1","003","Belgacom"
"2.153.246.877","1","003","Belgacom"
"2.153.247.174","2","003","Belgacom"
"2.153.247.273","1","003","Belgacom"
"2.153.247.570","1","003","Belgacom"
"2.153.247.768","2","003","Belgacom"
"2.153.248.164","3","003","Belgacom"
"2.153.248.263","2","003","Belgacom"
"2.153.248.659","2","003","Belgacom"
"2.153.248.758","2","003","Belgacom"
"2.153.249.055","2","003","Belgacom"
"2.153.249.352","3","003","Belgacom"
"2.153.258.458","2","003","Belgacom"
"2.160.609.474","2","003","Eupen Klötzer"
"2.174.815.917","2","003","Belgacom Center Haasrode"
"2.174.823.142","1","003","Belgacom Mons T3"
"2.174.824.528","2","003","Belgacom Gent Groeninghe-Complex"
"2.177.924.667","2","003","Printshop Anderlecht"
"2.181.462.494","2","003","Proximus Wingene"
"2.186.642.096","1","003","Bastogne Group Store"
"2.186.643.779","1","003","Libramont Group Store"
"2.187.794.913","4","003","Outdoor Center Roeselare"
"2.209.570.522","2","003","Shop Brugge"
"2.210.681.072","1","003","BDC Courcelles"
"2.210.681.864","2","003","Shop Veurne"
"2.211.072.339","2","003","EXPLOITATIECENTRUM KORTRIJK"
"2.004.189.254","1","003","Compagnie Intercommunale Liégeoise des Eaux"
"2.182.180.987","1","003","CILE scrl"
"2.182.181.284","1","003","CILE scrl"
"2.182.181.680","1","003","CILE scrl"
"2.206.355.763","1","003","Port Autonome de Liège"
"2.001.171.663","1","003","AIOMS"
"2.159.816.549","1","003","MRS ""Clinique St Joseph"" et Soins Palliatifs ""Le Foyer"""
"2.159.816.945","1","003","MRS ""Régina"""
"2.159.817.242","1","003","La Kan"
"2.158.812.204","1","003","IMSTAM scrl"
"2.158.813.687","1","003","IMSTAM - PSE"
"2.160.263.343","1","003","Résidence ""Le Temps des Cerises"""
"2.160.263.541","1","003","Résidence Dejaifve"
"2.166.131.744","1","003","A.I.T.I."
"2.160.519.996","1","003","AIEM"
"2.159.997.483","1","003","Siège Social"
"2.159.997.483","2","003","Maatschappelijke zetel"
"2.159.997.582","1","003","Centre Technique de Linthout"
"2.159.997.582","2","003","Technisch centrum Linthout"
"2.159.997.780","2","003","Birmingham"
"2.159.997.780","1","003","Birmingham"
"2.159.997.978","1","003","Saint-Job"
"2.159.997.978","2","003","Saint-Job"
"2.159.998.176","1","003","Laboratoire"
"2.159.998.176","2","003","Laboratorium"
"2.159.998.572","1","003","Braine-L'Alleud"
"2.159.998.968","1","003","Tailfer"
"2.159.999.166","1","003","Vedrin"
"2.159.999.562","1","003","Ligny"
"2.159.999.661","1","003","Spontin"
"2.160.299.767","1","003","Ben-Ahin"
"2.160.299.767","2","003","Ben-Ahin"
"2.160.300.361","1","003","Havré"
"2.160.301.450","1","003","Ecaussinnes (Usine)"
"2.160.301.945","1","003","Ecaussinnes (Dépôt)"
"2.160.302.242","1","003","Uccle (Réservoir)"
"2.160.302.242","2","003","Ukkel (Reservoir)"
"2.160.302.836","2","003","Ukkel (Reservoir de Boitsfort)"
"2.160.302.836","1","003","Uccle (Réservoir de Boitsfort)"
"2.160.315.011","1","003","Yvoir-Champale"
"2.160.315.803","1","003","Plancenoit (usine)"
"2.160.316.494","1","003","Callois Witterzée (Réservoir)"
"2.160.316.692","1","003","Le Roeulx (Réservoir)"
"2.160.317.484","1","003","Bois de Villers (Réservoir)"
"2.160.317.979","1","003","Mazy (Tour d'équilibre)"
"2.160.318.177","1","003","Landenne (Château d'Eau)"
"2.160.318.573","1","003","Daussoulx (Noeud)"
"2.160.318.771","2","003","Elsene (Reservoir)"
"2.160.318.771","1","003","Ixelles (Réservoir)"
"2.160.319.860","1","003","Etterbeek (Réservoir)"
"2.160.319.860","2","003","Etterbeek (Reservoir)"
"2.160.320.553","1","003","Laeken (Usine du Mutsaert)"
"2.160.320.553","2","003","Laken (Fabriek du Mutsaert)"
"2.160.321.048","1","003","Profondeville (Usine)"
"2.160.321.147","1","003","Rhode (Réservoir)"
"2.160.321.444","1","003","Rhode (Noeud Ste Anne)"
"2.160.322.335","2","003","Zuiveringsstation Zuid"
"2.160.322.335","1","003","Station épuration Sud"
"2.160.322.731","1","003","Roodebeek"
"2.160.323.424","1","003","Lusambo"
"2.160.323.424","2","003","Lusambo"
"2.160.323.721","2","003","Ouest (Brukom)"
"2.160.323.820","2","003","Zaventem"
"2.160.323.919","1","003","Ghlin"
"2.160.324.018","1","003","BRAINE (service clientèle)"
"2.161.098.434","1","003","Modave"
"2.161.100.414","1","003","Vieux-Genappe"
"2.161.439.419","1","003","Landenne (Usine)"
"2.160.284.129","1","003","Laboratoire Intercommunale Bruxellois de Chimie et de Bactériologie"
"2.160.284.129","2","003","Brussels Intercommunaal Laboratorium voor Scheikunde en Bacteriologie"
"2.104.472.903","2","003","HASSELT"
"2.128.041.626","2","003","Holding Communal - Gemeentelijke Holding - Gemeindliche Holding"
"2.151.301.533","2","003","Delcredere"
"2.151.301.533","1","003","Ducroire"
"2.009.956.596","2","003","Intercommunale Coöperatie vennootschap voor Crematie"
"2.009.956.596","1","003","Société Coopérative Intercommunale de Crémation"
"2.143.563.606","1","003","B"
"2.143.609.136","2","003","B"
"2.182.832.669","2","003","9620Stationsplein12"
"2.182.832.768","2","003","9100Léopold II - laan2"
"2.182.832.966","2","003","8400Natiënkaai1"
"2.182.833.164","2","003","1400Rue de Namur185"
"2.182.833.461","2","003","7800Rue de la Station1"
"2.182.833.956","2","003","9000Koningin Fabiola laans/n"
"2.182.834.550","2","003","2018Dekeyserlei58-60132"
"2.182.834.748","2","003","1070Tweestationsstraat82"
"2.182.834.847","2","003","6001Rue de la Villette51"
"2.182.835.045","2","003","4000Rue des Guillemins26"
"2.182.835.243","2","003","1070Barastraat 135"
"2.182.835.441","1","003","1070Tweestationsstraat80"
"2.183.961.136","2","003","9000Kortrijksesteenweg398"
"2.183.961.235","2","003","5030Avenue de la Station1"
"2.183.961.334","2","003","1800Stationplein9"
"2.193.255.518","2","003","1130Ganzeweidestraat301"
"2.206.089.410","2","003","5000 NAMEN Rue Léanne 15"
"2.214.138.727","2","003","4000 RUE VARIN 4A"
"2.214.208.112","2","003","5000 Rue Léanne 1"
"2.158.896.831","2","003","Provinciale Brabantse Energiemaatschappij"
"2.149.664.708","1","003","A.I.D.E."
"2.152.229.466","1","003","Centre hospitalier Bois de l'Abbaye"
"2.161.218.792","1","003","CHBAH Site de Waremme"
"2.161.219.188","1","003","MR/MRS ""Les Heures Paisibles"""
"2.161.219.485","1","003","MRS ""Du Bois de L'Abbaye"""
"2.161.219.881","1","003","CHBAH Site de Seraing"
"2.161.220.079","1","003","MR Résidence Chantraine"
"2.161.221.069","1","003","Polyclinique Tubemeuse"
"2.158.977.203","1","003","Intercommunale de Distribution d'Eau de Nandrin - Tinlot et Environs"
"2.158.307.111","2","003","IOK"
"2.178.144.403","2","003","IOK - Ophaaldienst"
"2.194.140.097","2","003","Eandis"
"2.213.663.031","2","003","Intercommunaal Centrum voor Geweldbeheersing (ICG)"
"2.003.168.675","1","003","Centre Joseph  Leclercq - Siège Social"
"2.159.875.046","1","003","Centre Joseph Leclerq - Siège Social"
"2.159.875.244","1","003","Centre Antoine Moureau"
"2.159.875.343","1","003","Centre Joseph Latin"
"2.159.875.739","1","003","Centre de Formation"
"2.159.876.036","1","003","Site d'Ans"
"2.160.459.422","1","003","Centre Administratif Sainte-Marie"
"2.160.459.818","1","003","Centre Exploitation Secteur 5 - Jupille"
"2.160.460.016","1","003","Centre Exploitation Secteur 5 - Seraing"
"2.160.460.412","1","003","Centre Exploitation Secteur 5 - Herstal"
"2.160.460.610","1","003","Centre Exploitation Secteur 5 - Eupen"
"2.160.460.907","1","003","Centre Exploitation Dison"
"2.186.085.337","1","003","Site de Strépy"
"2.186.087.119","1","003","Boutique de Mons"
"2.186.087.713","1","003","Boutique de La Louvière"
"2.186.088.208","1","003","Site de Gosselies NOC"
"2.186.088.901","1","003","Site d'Ottignies"
"2.186.089.196","1","003","Site de Marche en Famenne"
"2.186.089.988","1","003","Site de Tournai"
"2.186.090.285","1","003","Site d'Arlon"
"2.186.090.582","1","003","Site de Lambermont"
"2.186.090.681","1","003","Site de Gosselies BO"
"2.186.090.978","1","003","Site de Farciennes"
"2.186.091.077","1","003","Site d'Auvelais"
"2.197.070.685","1","003","Magasin Central Milmort"
"2.158.810.719","1","003","SPI+"
"2.161.386.365","1","003","INTERMOSANE"
"2.182.384.984","1","003","Intermosane"
"2.004.188.660","1","003","Association Intercommunale pour la Protection et la Valorisation de l'Environnement"
"2.160.541.970","1","003","Station Epuration Bastogne Rhin"
"2.160.542.861","1","003","Station Epuration Arlon"
"2.160.543.158","1","003","Station Epuration Libramont Lhomme"
"2.160.543.257","1","003","Station Epuration Neufchâteau"
"2.160.544.148","1","003","Station Epuration Bertrix"
"2.160.544.445","1","003","Station Epuration Marche"
"2.160.544.742","1","003","Station Epuration Wellin"
"2.182.299.070","1","003","Hall de tri de saint-Vith"
"2.182.300.951","1","003","Usine de traitement des déchets Habay"
"2.182.301.149","1","003","Parc à conteneurs Bullange"
"2.182.301.743","1","003","Parc à conteneurs Burg-Reuland"
"2.182.302.337","1","003","Parc à conteneurs Waimes I"
"2.182.302.733","1","003","Parc à conteneurs Waimes II"
"2.182.303.426","1","003","Parc à conteneurs Malmedy"
"2.182.303.723","1","003","Parc à conteneurs Stavelot"
"2.182.304.119","1","003","Parc à conteneurs Trois-Ponts"
"2.182.304.614","1","003","Parc à conteneurs Stoumont"
"2.182.305.010","1","003","Parc à conteneurs de Vielsalm"
"2.182.305.604","1","003","Parc à conteneurs Gouvy"
"2.182.306.097","1","003","Parc à conteneurs Bütgenbach"
"2.182.306.196","1","003","Parc à conteneurs Amel"
"2.182.306.592","1","003","Parc à conteneurs Saint-Vith"
"2.182.306.889","1","003","Parc à conteneurs Houffalize"
"2.182.307.087","1","003","Parc à conteneurs Manhay"
"2.182.307.285","1","003","Parc à conteneurs Bastogne I"
"2.182.307.780","1","003","Parc à conteneurs Bastogne II"
"2.182.308.077","1","003","Parc à conteneurs Bertogne"
"2.182.308.572","1","003","Parc à conteneurs Durbuy"
"2.182.308.770","1","003","Parc à conteneurs Erezée"
"2.182.318.371","1","003","Parc à conteneurs Hotton"
"2.182.318.569","1","003","Parc à conteneurs La Roche"
"2.182.319.361","1","003","Parc à conteneurs Libin"
"2.182.319.757","1","003","Parc à conteneurs Libramont"
"2.182.323.717","1","003","Parc à conteneurs Marche I"
"2.183.209.286","1","003","Parc à conteneurs Marche II"
"2.183.209.682","1","003","Parc à conteneurs Nassogne"
"2.183.210.177","1","003","Parc à conteneurs Saint Hubert"
"2.183.210.771","1","003","Parc à conteneurs Tellin"
"2.183.210.870","1","003","Parc à conteneurs Tenneville"
"2.183.211.068","1","003","Parc à conteneurs Vaux-sur-Sûre"
"2.183.211.662","1","003","Parc à conteneurs Aubange"
"2.183.211.860","1","003","Parc à conteneurs Chiny"
"2.183.212.553","1","003","Parc à conteneurs Fauvilliers"
"2.183.217.404","1","003","Parc à conteneurs  Habay"
"2.183.217.996","1","003","Parc à conteneurs Léglise"
"2.183.218.194","1","003","Parc à conteneurs Messancy"
"2.183.218.293","1","003","Parc à conteneurs Musson"
"2.183.218.392","1","003","Parc à conteneurs Rouvroy"
"2.183.218.590","1","003","Parc à conteneurs Saint-Léger"
"2.183.218.788","1","003","Parc à conteneurs Tintigny"
"2.183.219.085","1","003","Parc à conteneurs Bertrix"
"2.183.219.481","1","003","Parc à conteneurs Bouillon"
"2.183.219.976","1","003","Parc à conteneurs Daverdisse"
"2.183.220.372","1","003","Parc à conteneurs Herbeumont"
"2.183.220.570","1","003","Parc à Conteneurs Neufchateau"
"2.183.220.867","1","003","Parc à conteneurs Paliseul"
"2.183.221.164","1","003","Parc à conteneurs Wellin"
"2.183.221.461","1","003","Usine Tenneville"
"2.183.222.451","1","003","Station de transfert de Manhay"
"2.183.265.706","1","003","Parc à conteneurs Florenville"
"2.183.265.805","1","003","Parc à conteneurs Rendeux"
"2.183.266.102","1","003","Parc à conteneurs Attert"
"2.183.295.103","1","003","Station Epuration Virton"
"2.183.435.059","1","003","Administration Habay"
"2.183.435.257","1","003","Hall des tris Habay"
"2.183.435.554","1","003","Administration Tenneville"
"2.183.435.950","1","003","CET Classe III Bertrix"
"2.185.704.463","1","003","Station Epuration Athus"
"2.185.704.760","1","003","Administration Bertrix"
"2.185.725.546","1","003","Station Epuration Houffalize"
"2.185.726.338","1","003","Station Epuration Bouillon"
"2.200.119.356","1","003","Parc à Conteneurs"
"2.222.740.449","1","003","Parc à conteneurs Corbion"
"2.158.292.758","2","003","TMVW"
"2.175.916.569","2","003","TMVW - Zone Asse"
"2.175.916.866","2","003","TMVW - Zone Brugge"
"2.175.916.965","2","003","TMVW - Zone Ronse"
"2.207.103.356","2","003","Zwembad Strop"
"2.207.103.653","2","003","Zwembad Van Eyck"
"2.207.105.039","2","003","Zwembad Neptunus"
"2.207.105.138","2","003","Zwembad Rooigem"
"2.207.105.336","2","003","Zwembad Bert Carlier"
"2.207.106.623","2","003","Sporthal Bourgoyen"
"2.207.106.821","2","003","Sporthal Driebeek"
"2.207.107.613","2","003","Sporthal Hekers"
"2.207.108.108","2","003","Sporthal Keiskant"
"2.207.108.405","2","003","Sporthal Neptunus"
"2.207.115.531","2","003","Sporthal Tolhuis"
"2.207.115.630","2","003","Sporthal Wolfput"
"2.207.115.828","2","003","Openluchtcentrum Jan Yoens"
"2.207.116.125","2","003","Zwembad Rosas"
"2.207.116.323","2","003","Sportpark Den Akker"
"2.207.116.422","2","003","Zwembad Bloemendale"
"2.207.117.511","2","003","Sporthal D'Hoogploate"
"2.207.117.808","2","003","Buiten terrein Jules Soetestadion"
"2.207.118.501","2","003","Zwembad Wielingenbad"
"2.207.118.994","2","003","Sporthal Haneveld"
"2.207.180.956","2","003","Sporthal Flabbaert"
"2.207.181.847","2","003","Sporthal Onderdaele"
"2.207.183.827","2","003","Zwembad Lebbeke"
"2.207.184.916","2","003","Zwembad Noordzeebad"
"2.207.185.114","2","003","Sporthal Sportdoze"
"2.207.187.587","2","003","Sporthal Lebbeke + BT"
"2.207.187.884","2","003","Zwembad Heuvelkouter"
"2.207.188.082","2","003","Zwembad Duinenbad"
"2.207.188.874","2","003","Zwembad Amfoor"
"2.207.192.042","2","003","Zwembad Dadizele"
"2.207.194.616","2","003","Zwembad"
"2.207.195.309","2","003","Zwembad De Valkaart"
"2.207.195.705","2","003","Sporthal De Valkaart"
"2.207.196.792","2","003","Sporthal + BT Riderfort"
"2.207.196.990","2","003","Sporthal Ternat"
"2.207.198.079","2","003","Zwembad Ternat"
"2.207.214.808","2","003","Zwembad + Sporthal Eurohal"
"2.207.215.204","2","003","Zwembad Den Boer"
"2.207.215.796","2","003","Sporthal + BT Den Boer"
"2.207.216.390","2","003","Gentse Roei- en Sportvereniging"
"2.207.216.786","2","003","Sporthal Leopoldskazerne"
"2.207.216.984","2","003","Sporthal Heiveld"
"2.207.217.380","2","003","Buitenterrein Hogeveld"
"2.207.217.578","2","003","Sporthal"
"2.208.517.774","2","003","JB Derooverstadion"
"2.208.518.170","2","003","Zwembad Gistel"
"2.208.518.764","2","003","Sporthal Gistel"
"2.208.519.160","2","003","Buitenterrein Gistel 1"
"2.208.519.457","2","003","Buitenterrein Gistel 2"
"2.208.519.853","2","003","Sporthal Eeklo"
"2.208.520.348","2","003","Zwembad Eeklo"
"2.208.521.140","2","003","Sporthal Waarschoot"
"2.208.521.239","2","003","Sporthal De Pluimen"
"2.208.533.315","2","003","Tennis Blankenberge"
"2.208.533.612","2","003","Zwembad Rozebroeken"
"2.208.533.810","2","003","Sporthal Rozebroeken"
"2.229.447.307","2","003","Buitenterrein Albertstadion"
"2.229.448.295","2","003","Sportcomplex Bergenmeers (Tennis)"
"2.229.448.691","2","003","Sportcomplex moerkensheide (Kunstgras)"
"2.229.449.087","2","003","Sporthal Drogenbrood"
"2.229.449.582","2","003","Zwembad Lichtervelde"
"2.229.719.303","2","003","Sporthal Heuvelkouter"
"2.229.719.796","2","003","Sporthal Bosveld"
"2.229.720.489","2","003","Tenniscomplex Machelen"
"2.229.720.984","2","003","Jeugdcomplex Diegem"
"2.229.721.380","2","003","Complex Diegem Park"
"2.229.721.578","2","003","Sporthal Robusta"
"2.229.721.875","2","003","Plonsbadenpark"
"2.161.837.317","2","003","SOLVA Administratie"
"2.158.766.672","1","003","Intercommunale des Eaux du Centre du Brabant wallon (I.E.C.B.W.)"
"2.166.134.615","1","003","IBW"
"2.166.130.457","1","003","Intercommunale Sociale du Brabant Wallon"
"2.168.951.672","1","003","La Farandole"
"2.168.951.870","1","003","Espace Enfance"
"2.168.951.969","1","003","Le Couffin"
"2.168.952.068","1","003","Service d'accompagnement de la personne - Service prévention suicide - Service d'accompagnement d'enfants en deuil"
"2.168.952.266","1","003","Accueil extra-scolaire de Tourinnes-la-Grosse"
"2.168.952.662","1","003","Accueil extra-scolaire d'Ophain"
"2.168.952.959","1","003","Accueil extra-scolaire ""Les Marronniers"" à Wauthier-Braine"
"2.168.953.058","1","003","Accueil extra-scolaire de Wauthier-Braine"
"2.168.953.256","1","003","Accueil extra-scolaire de Noucelles"
"2.168.955.533","1","003","accueil extra-scolaire ""Saint-Rémy"" à Braine-Le-Château"
"2.168.955.830","1","003","Accueil extra-scolaire d'Opprebais"
"2.168.956.127","1","003","Accueil extra-scolaire de Piétrebais"
"2.168.956.325","1","003","Accueil extra-scolaire de Genappe"
"2.168.956.721","1","003","Accueil extra-scolaire du Blocry à Ottignies"
"2.168.957.414","1","003","Accueil extra-scolaire de Jassans à Limelette"
"2.168.957.711","1","003","Accueil extra-scolaire de Saintes Maternelles"
"2.168.957.909","1","003","Accueil extra-scolaire de Saintes Primaires"
"2.168.958.107","1","003","Accueil extra-scolaire de Oisquercq"
"2.168.958.503","1","003","Accueil extra-scolaire Libre de Saintes"
"2.168.959.194","1","003","Accueil extra-scolaire ""Gabrielle Petit"" à Tubize"
"2.168.959.689","1","003","Accueil extra-scolaire ""Saint-Joseph"" à Tubize"
"2.168.960.283","1","003","Accueil extra-scolaire ""Baulers"" à Nivelles"
"2.168.960.580","1","003","Accueil extra-scolaire de la Maillebotte à Nivelles"
"2.168.960.778","1","003","Accueil extra-scolaire des Colibris à la Hulpe"
"2.168.960.976","1","003","Accueil extra-scolaire des Lutins à La Hulpe"
"2.168.961.471","1","003","Accueil extra-scolaire de Marbais"
"2.168.961.570","1","003","Accueil extra-scolaire de Tilly"
"2.168.961.768","1","003","Accueil extra-scolaire de Clabecq"
"2.150.858.697","2","003","Congregatie der Gasthuiszusters-Augustinessen van Diest"
"2.162.917.579","2","003","IMSIR"
"2.171.339.159","2","003","Beschermde Werkplaats IMSIR"
"2.163.001.119","2","003","Haviland CV"
"2.161.770.110","2","003","Intercommunale Watermaatschappij"
"2.161.770.308","2","003","Intercommunale Watermaatschappij"
"2.162.852.253","1","003","I.D.E.A. Région Mons-Borinage-Centre"
"2.162.853.342","1","003","I.D.E.A. Région Mons-Borinage-Centre"
"2.162.853.540","1","003","I.D.E.A. Région Mons-Borinage-Centre"
"2.162.853.639","1","003","I.D.E.A. Région Mons-Borinage-Centre"
"2.162.853.936","1","003","I.D.E.A. Mons-Borinage-Centre"
"2.162.854.629","1","003","I.D.E.A. Région Mons-Borinage-Centre"
"2.162.854.926","1","003","I.D.E.A. Région Mons-Borinage-Centre"
"2.165.787.195","1","003","I.D.E.A. Région Mons-Borinage-Centre"
"2.227.021.515","1","003","Service entretien des biens - Infrastructures"
"2.163.789.688","1","003","IRSIA ETA 7"
"2.163.789.787","1","003","IRSIA ETA 7"
"2.163.790.480","1","003","IRSIA ETA 7"
"2.163.790.579","1","003","Les Enfants d'Abord"
"2.163.791.272","1","003","La Bambinière"
"2.163.791.371","1","003","Les Diablotins"
"2.163.791.767","1","003","Les Canailloux"
"2.163.791.866","1","003","Le Chateau des Enfants"
"2.163.791.965","1","003","La Bambinade"
"2.191.518.723","1","003","LES MINI-MOMES"
"2.164.737.518","1","003","SIMOGEL"
"2.162.441.982","2","003","NOLIMPARK D.V."
